Title,Note,URL,Tags,Comment
,,,,
TALEA Beer Co. - Cobble Hill,,https://www.google.com/maps/place/TALEA+Beer+Co.+-+Cobble+Hill/data=!4m2!3m1!1s0x89c25b09e5e678ed:0x8f4b24fb93049910,,
The Lot Radio,,https://www.google.com/maps/place/The+Lot+Radio/data=!4m2!3m1!1s0x89c2594360dafe47:0xaab922eed9730ece,,
The Back Room,,https://www.google.com/maps/place/The+Back+Room/data=!4m2!3m1!1s0x89c259811e7d8d9d:0xac44d532c045cf7e,,
horse with no name,,https://www.google.com/maps/place/horse+with+no+name/data=!4m2!3m1!1s0x89c259000b7c6e99:0xb1ac09b216b88a1c,,
The Ready Cantina,,https://www.google.com/maps/place/The+Ready+Cantina/data=!4m2!3m1!1s0x89c2592740f151fb:0xea546b5d0efc782c,,
Bar Pisellino,,https://www.google.com/maps/place/Bar+Pisellino/data=!4m2!3m1!1s0x89c259f5369f4b1d:0xa7e350947b64ee68,,
Parcelle Greenwich Village,,https://www.google.com/maps/place/Parcelle+Greenwich+Village/data=!4m2!3m1!1s0x89c2599c504d7515:0x543c755be7cf1b0e,,
Rudy's Bar & Grill,Chaotic and cheap. American,https://www.google.com/maps/place/Rudy's+Bar+%26+Grill/data=!4m2!3m1!1s0x89c258524aab173b:0x62a5020e2c5d6a3e,,
Arts and Crafts Beer Parlor,,https://www.google.com/maps/place/Arts+and+Crafts+Beer+Parlor/data=!4m2!3m1!1s0x89c2f63e74af64fd:0xb2df63bcc5a0773a,,
Burp Castle,,https://www.google.com/maps/place/Burp+Castle/data=!4m2!3m1!1s0x89c2599c839b3f05:0xeccfd1fb265b9228,,
Elvis,,https://www.google.com/maps/place/Elvis/data=!4m2!3m1!1s0x89c2590052c187ed:0x589513606a0bcf77,,
Delta Charlie,,https://www.google.com/maps/place/Delta+Charlie/data=!4m2!3m1!1s0x89c2595ae662fdcb:0xf279d95e723dde00,,
CARTA Wine Bar New York,,https://www.google.com/maps/place/CARTA+Wine+Bar+New+York/data=!4m2!3m1!1s0x89c2590021e4302b:0x1891218a4baff3d7,,
"Amélie West Village Restaurant, Bistro & Wine Bar",,"https://www.google.com/maps/place/Am%C3%A9lie+West+Village+Restaurant,+Bistro+%26+Wine+Bar/data=!4m2!3m1!1s0x89c259972a3ead8d:0x110782775ad2e1b8",,
Temperance,,https://www.google.com/maps/place/Temperance/data=!4m2!3m1!1s0x89c259ce3ef99cc3:0x946cb3e2587281a1,,
Tom and Jerry's,,https://www.google.com/maps/place/Tom+and+Jerry's/data=!4m2!3m1!1s0x89c2598574c6aeff:0xd681d51064cf8508,,
