Title,Note,URL,Tags,Comment
,,,,
Klein's Kosher,,https://www.google.com/maps/place/Klein's+Kosher/data=!4m2!3m1!1s0x89c25bdd4290d045:0x4853eaf5c2d2da70,,
Grill On Lee,,https://www.google.com/maps/place/Grill+On+Lee/data=!4m2!3m1!1s0x89c25be79cb87253:0x4c746bbc9eedd72d,,
Greenfelds,,https://www.google.com/maps/place/Greenfelds/data=!4m2!3m1!1s0x89c25be7bd7bde55:0x14a4a2a8eb8506d0,,
Flaum's Appetizers,,https://www.google.com/maps/place/Flaum's+Appetizers/data=!4m2!3m1!1s0x89c25bdd95451c09:0xf774736b04589565,,
Simply Nova,,https://www.google.com/maps/place/Simply+Nova/data=!4m2!3m1!1s0x89c259b06be1bc97:0xeed20f40f5df35e4,,
David's Brisket House,Yosit,https://www.google.com/maps/place/David's+Brisket+House/data=!4m2!3m1!1s0x89c25b9ae70910b9:0x4c5ad53616de6ba8,,
Shelsky's Brooklyn Bagels,,https://www.google.com/maps/place/Shelsky's+Brooklyn+Bagels/data=!4m2!3m1!1s0x89c25b78a973d305:0x70afe212c5d70d18,,
Mile End Delicatessen,,https://www.google.com/maps/place/Mile+End+Delicatessen/data=!4m2!3m1!1s0x89c25a4d946fbf2d:0x347ae99c7b26852f,,
Essen NY Deli,,https://www.google.com/maps/place/Essen+NY+Deli/data=!4m2!3m1!1s0x89c244c8af9ffdcf:0x482e6c0b8ff7197c,,
Hadar Geulah,,https://www.google.com/maps/place/Hadar+Geulah/data=!4m2!3m1!1s0x89c24526cb8d61dd:0x435179d91417b1da,,
Shelsky's Of Brooklyn Appetizing and Delicatessen,,https://www.google.com/maps/place/Shelsky's+Of+Brooklyn+Appetizing+and+Delicatessen/data=!4m2!3m1!1s0x89c25a50c4431945:0x90251cba04941e7b,,
Oneg Bakery,,https://www.google.com/maps/place/Oneg+Bakery/data=!4m2!3m1!1s0x89c25be62ea95c15:0x6e1dc656a72b8962,,
Frankel's Delicatessen & Appetizing,,https://www.google.com/maps/place/Frankel's+Delicatessen+%26+Appetizing/data=!4m2!3m1!1s0x89c259445265d12d:0x228d573b5bdd44e9,,
Mill Basin Deli,,https://www.google.com/maps/place/Mill+Basin+Deli/data=!4m2!3m1!1s0x89c2434676f3f339:0xe12123de14a7e8a7,,
Sander's Bakery,,https://www.google.com/maps/place/Sander's+Bakery/data=!4m2!3m1!1s0x89c25be7b61f0505:0x47d0c46bc0232b73,,
Green's Bakery,,https://www.google.com/maps/place/Green's+Bakery/data=!4m2!3m1!1s0x89c25bea1d1fd639:0x43e0c9668e973538,,
David's,,https://www.google.com/maps/place/David's/data=!4m2!3m1!1s0x89c244f020c4bfed:0x8248bc9a2f581d2,,
Satmar Meat,,https://www.google.com/maps/place/Satmar+Meat/data=!4m2!3m1!1s0x89c25be8a54b0a41:0x1304d024ee757eef,,
Gottlieb's Restaurant,,https://www.google.com/maps/place/Gottlieb's+Restaurant/data=!4m2!3m1!1s0x89c25bde74f6baf9:0xa62ccd6995ab3fa5,,
Lucky Rabbit Noodles,Matzo ball soup dumplings,https://www.google.com/maps/place/Lucky+Rabbit+Noodles/data=!4m2!3m1!1s0x89c25b1cf3407f45:0xae47b67f0d989329,,
