Title,Note,URL,Tags,Comment
,,,,
NetCost Market,,https://www.google.com/maps/place/NetCost+Market/data=!4m2!3m1!1s0x89c2446a1dec041d:0xaef169f35344378b,,
Nasheman,,https://www.google.com/maps/place/Nasheman/data=!4m2!3m1!1s0x89c24469e2b7d6f3:0xc8a8cb9e14e5187b,,
Tashkent Supermarket - Brighton Beach,,https://www.google.com/maps/place/Tashkent+Supermarket+-+Brighton+Beach/data=!4m2!3m1!1s0x89c24441fb14f5cd:0xb0892ea4bb55be0d,,
Berikoni Georgian Bakery,,https://www.google.com/maps/place/Berikoni+Georgian+Bakery/data=!4m2!3m1!1s0x89c244471a71c365:0x64bbe6c11772146d,,
Güllüoglu Cafe&Bakery,,https://www.google.com/maps/place/G%C3%BCll%C3%BCoglu+Cafe%26Bakery/data=!4m2!3m1!1s0x89c244472f4903ed:0x42887ae03971c92d,,
Beyti Turkish Kebab,,https://www.google.com/maps/place/Beyti+Turkish+Kebab/data=!4m2!3m1!1s0x89c244410663669b:0xd254800f14acbe14,,
Skovorodka,Sietsema. More of a sit down resturant.,https://www.google.com/maps/place/Skovorodka/data=!4m2!3m1!1s0x89c24441932f9825:0xf1f35c8c5f3b7d0a,,
Kashkar Cafe,Sietsema. Manti,https://www.google.com/maps/place/Kashkar+Cafe/data=!4m2!3m1!1s0x89c2446bd959293b:0xe9570cc2cb17b79,,
Williams Candy Shop,,https://www.google.com/maps/place/Williams+Candy+Shop/data=!4m2!3m1!1s0x89c244353bf03ccd:0xc2aee1878196fd6f,,
Nathan's Famous,,https://www.google.com/maps/place/Nathan's+Famous/data=!4m2!3m1!1s0x89c244353f830641:0x7236f2dccccf97c0,,
Coney Island,,https://www.google.com/maps/place/Coney+Island/data=!4m2!3m1!1s0x89c24448979d75cb:0x54745adc3c8f1179,,
