Title,Note,URL,Tags,Comment
,,,,
Jue Wei BBQ Cart,,https://www.google.com/maps/place/Jue+Wei+BBQ+Cart/data=!4m2!3m1!1s0x89c261a8c2cb0b59:0xabc65fc600e5f776,,
游子老鸭粉丝馆 Yozi,,https://www.google.com/maps/place/%E6%B8%B8%E5%AD%90%E8%80%81%E9%B8%AD%E7%B2%89%E4%B8%9D%E9%A6%86+Yozi/data=!4m2!3m1!1s0x89c26011c400fe3d:0xb37dbb29429d8873,,
Mojoilla Fresh 魔力鲜,,https://www.google.com/maps/place/Mojoilla+Fresh+%E9%AD%94%E5%8A%9B%E9%B2%9C/data=!4m2!3m1!1s0x89c26011c3826cb5:0xb1fea9258d41169c,,
Maxi's Noodle,,https://www.google.com/maps/place/Maxi's+Noodle/data=!4m2!3m1!1s0x89c2619df7cda397:0x9ad254469f24deb0,,
Molly Tea 茉莉奶白,,https://www.google.com/maps/place/Molly+Tea+%E8%8C%89%E8%8E%89%E5%A5%B6%E7%99%BD/data=!4m2!3m1!1s0x89c261006d96edcb:0xedc025c998b4275,,
Peking Duck Sandwich Stall,,https://www.google.com/maps/place/Peking+Duck+Sandwich+Stall/data=!4m2!3m1!1s0x89c2600e1adc3c91:0x5fbc168c877fca38,,
Nan Xiang Soup Dumplings - Flushing,,https://www.google.com/maps/place/Nan+Xiang+Soup+Dumplings+-+Flushing/data=!4m2!3m1!1s0x89c2600e5c0c3e57:0x24af49e7e7726484,,
Corner 28,,https://www.google.com/maps/place/Corner+28/data=!4m2!3m1!1s0x89c2600c872f1ab9:0xd31a312fe6ac9391,,
White Bear,,https://www.google.com/maps/place/White+Bear/data=!4m2!3m1!1s0x89c2600e72499065:0x5e49eca919803539,,
Ming Wei 铭味,,https://www.google.com/maps/place/Ming+Wei+%E9%93%AD%E5%91%B3/data=!4m2!3m1!1s0x89c2610f3a7efb55:0xb5de6b8aadf1e982,,
Jing Feng Fish Ball Inc.,,https://www.google.com/maps/place/Jing+Feng+Fish+Ball+Inc./data=!4m2!3m1!1s0x89c2601211e97acf:0xb7b281ead6357fb1,,
Gao Xiao Pa 高小爬,,https://www.google.com/maps/place/Gao+Xiao+Pa+%E9%AB%98%E5%B0%8F%E7%88%AC/data=!4m2!3m1!1s0x89c261dcf11e3823:0x4449a41d6799f1c0,,
Joe’s Steam Rice Roll,,https://www.google.com/maps/place/Joe%E2%80%99s+Steam+Rice+Roll/data=!4m2!3m1!1s0x89c26011cb0f8c5b:0x3c0c9978439774a6,,
Eight Jane,,https://www.google.com/maps/place/Eight+Jane/data=!4m2!3m1!1s0x89c2600fcf9f8e31:0x42c04f3c63a2bf5f,,
