Title,Note,URL,Tags,Comment
,,,,
Sahadi's,,https://www.google.com/maps/place/Sahadi's/data=!4m2!3m1!1s0x89c25a4f74985b85:0xf86e66d542e5b237,,
Nuts Factory,הכל ישראלי לפי עמית ואיילה,https://www.google.com/maps/place/Nuts+Factory/data=!4m2!3m1!1s0x89c24530a0155555:0x100134f30bd69eda,,
Schaller & Weber,,https://www.google.com/maps/place/Schaller+%26+Weber/data=!4m2!3m1!1s0x89c258bba6c61085:0x7f399cdcbb275c45,,
Katagiri Japanese Grocery,,https://www.google.com/maps/place/Katagiri+Japanese+Grocery/data=!4m2!3m1!1s0x89c25903de8d13f1:0xbcf60d3ae35c35d5,,
Sullivan Street Tea & Spice Company,,https://www.google.com/maps/place/Sullivan+Street+Tea+%26+Spice+Company/data=!4m2!3m1!1s0x89c259918caeaaf3:0xb7ffc5e27c8308d4,,
Amalia Grocery מכלת,,https://www.google.com/maps/place/Amalia+Grocery+%D7%9E%D7%9B%D7%9C%D7%AA%E2%80%AD/data=!4m2!3m1!1s0x89c26100551aa857:0xb25e5247130ab9a6,,
Wah Fung No.1 Fast Food,,https://www.google.com/maps/place/Wah+Fung+No.1+Fast+Food/data=!4m2!3m1!1s0x89c25987ffa99e09:0xfbce3ee954c0d58a,,
Tomer's Gourmet Market,,https://www.google.com/maps/place/Tomer's+Gourmet+Market/data=!4m2!3m1!1s0x89c259d0f81b694f:0xa7e6af98ea2b1272,,
SOS Chefs,,https://www.google.com/maps/place/SOS+Chefs/data=!4m2!3m1!1s0x89c2597818adff2f:0x94c161c64f859114,,
Kalustyan's,,https://www.google.com/maps/place/Kalustyan's/data=!4m2!3m1!1s0x89c2590833038e7b:0xfdcd8cf52fb8576,,
Hong Kong Supermarket,,https://www.google.com/maps/place/Hong+Kong+Supermarket/data=!4m2!3m1!1s0x89c259881fcf8553:0x9d130a0ddd146562,,
The Kosher Marketplace,,https://www.google.com/maps/place/The+Kosher+Marketplace/data=!4m2!3m1!1s0x89c25882547c1e89:0x731f446c1d1f5299,,
Yamadaya,,https://www.google.com/maps/place/Yamadaya/data=!4m2!3m1!1s0x89c259d15c4d4d31:0xfd6e8bcbd310872e,,
Ninth Avenue International Foods,,https://www.google.com/maps/place/Ninth+Avenue+International+Foods/data=!4m2!3m1!1s0x89c25852b99ec90f:0xe1aa28c63681edfb,,
Dual Spices,,https://www.google.com/maps/place/Dual+Spices/data=!4m2!3m1!1s0x89c2599cd2593379:0x1855fdb8f4d22d91,,
