Title,Note,URL,Tags,Comment
,,,,
Talpiot market,,https://www.google.com/maps/place/Talpiot+market/data=!4m2!3m1!1s0x151dba4e67036275:0xfd3b5ed304a1a838,,
לוקס LUX - חיפה,,https://www.google.com/maps/place/%D7%9C%D7%95%D7%A7%D7%A1+LUX+-+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/data=!4m2!3m1!1s0x151dba3643008b11:0xf1739ff8811e0caa,,
Eissalon אייססלון,,https://www.google.com/maps/place/Eissalon+%D7%90%D7%99%D7%99%D7%A1%D7%A1%D7%9C%D7%95%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x151dbac6c3c4eb35:0x1e344168bb375f8d,,
German Colony,,https://www.google.com/maps/place/German+Colony/data=!4m2!3m1!1s0x151dbbb61673d959:0x8b2682c2d3c42fd6,,
NeoPolitan,,https://www.google.com/maps/place/NeoPolitan/data=!4m2!3m1!1s0x151dbb6789ced9d1:0x546cc7c004febace,,
Abd al-Hadi Sweets,,https://www.google.com/maps/place/Abd+al-Hadi+Sweets/data=!4m2!3m1!1s0x151dbbb55f4ae009:0x515b4c074af05302,,
Shawarma Emil,,https://www.google.com/maps/place/Shawarma+Emil/data=!4m2!3m1!1s0x151dbbcaa5e68859:0x9d740529309e7644,,
Bahá'í Gardens Haifa - Balcony (Bahá’í Holy Place),,https://www.google.com/maps/place/Bah%C3%A1'%C3%AD+Gardens+Haifa+-+Balcony+(Bah%C3%A1%E2%80%99%C3%AD+Holy+Place)/data=!4m2!3m1!1s0x151dbbb118e43129:0xb7789244a7bc5b96,,
Louis Promenade,,https://www.google.com/maps/place/Louis+Promenade/data=!4m2!3m1!1s0x151dbbafac14b84b:0xedc9c22f260c9a15,,
