Title,Note,URL,Tags,Comment
,,,,
Vanessa's Dumpling House,,https://www.google.com/maps/place/Vanessa's+Dumpling+House/data=!4m2!3m1!1s0x89c2594990e14945:0xafa7d45fc6891405,,
The Pickle Guys,,https://www.google.com/maps/place/The+Pickle+Guys/data=!4m2!3m1!1s0x89c259875630be5d:0xa016ec4fd5321fe7,,
Santo Taco,,https://www.google.com/maps/place/Santo+Taco/data=!4m2!3m1!1s0x89c2598da5edd583:0x6eee76f17c0813f2,,
Elbow Bread,,https://www.google.com/maps/place/Elbow+Bread/data=!4m2!3m1!1s0x89c25b0073d873d7:0xbb52878185864442,,
Economy Candy,,https://www.google.com/maps/place/Economy+Candy/data=!4m2!3m1!1s0x89c25981389bd735:0xb4360ee4a91f91d0,,
Russ & Daughters,,https://www.google.com/maps/place/Russ+%26+Daughters/data=!4m2!3m1!1s0x89c259838d0451ed:0x28bb3770b1dd464b,,
Prince Street Pizza,,https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m2!3m1!1s0x89c25985f7ec1beb:0x3c39f655da433d9d,,
Scarr's Pizza,,https://www.google.com/maps/place/Scarr's+Pizza/data=!4m2!3m1!1s0x89c25a29b69a4a39:0xb65f303d4ac5eb82,,
Mei Lai Wah,,https://www.google.com/maps/place/Mei+Lai+Wah/data=!4m2!3m1!1s0x89c25a2706a57733:0x2a57a93e7c2a324,,
Fried Dumpling,,https://www.google.com/maps/place/Fried+Dumpling/data=!4m2!3m1!1s0x89c25a26c1f87d3d:0x8269486a3c81a6b6,,
Tasty Dumpling,,https://www.google.com/maps/place/Tasty+Dumpling/data=!4m2!3m1!1s0x89c25a26dfa3a383:0x65e91ab05b8238c0,,
King Dumplings,,https://www.google.com/maps/place/King+Dumplings/data=!4m2!3m1!1s0x89c25b53a5ad45c1:0x24b7f9c31a2a7615,,
Wah Fung No.1 Fast Food,,https://www.google.com/maps/place/Wah+Fung+No.1+Fast+Food/data=!4m2!3m1!1s0x89c25987ffa99e09:0xfbce3ee954c0d58a,,
West Rice Roll King 西关肠粉王,,https://www.google.com/maps/place/West+Rice+Roll+King+%E8%A5%BF%E5%85%B3%E8%82%A0%E7%B2%89%E7%8E%8B/data=!4m2!3m1!1s0x89c25b474b69cabf:0x4eed938460af7dae,,
