Title,Note,URL,Tags,Comment
,,,,
"אילוז דגים בע""מ",,https://www.google.com/maps/place/%D7%90%D7%99%D7%9C%D7%95%D7%96+%D7%93%D7%92%D7%99%D7%9D+%D7%91%D7%A2%22%D7%9E%E2%80%AD/data=!4m2!3m1!1s0x15026664a94bbc27:0x1d9eea786756bad8,,
"32°55'14.7""N 35°04'09.2""E",,"https://www.google.com/maps/search/32.920751,35.069225",,
קונדיטוריה ליבי,,https://www.google.com/maps/place/%D7%A7%D7%95%D7%A0%D7%93%D7%99%D7%98%D7%95%D7%A8%D7%99%D7%94+%D7%9C%D7%99%D7%91%D7%99%E2%80%AD/data=!4m2!3m1!1s0x151daf1078c345f5:0x628753c6d0d75381,,
BBQ Mirage,,https://www.google.com/maps/place/BBQ+Mirage/data=!4m2!3m1!1s0x151daf0f61f9f465:0x9d2ca89e2fa68d95,,
Pizza Lila,,https://www.google.com/maps/place/Pizza+Lila/data=!4m2!3m1!1s0x151d4c9db8818b65:0x7f385e0a8fe42e28,,
Nivo Grill Bar,,https://www.google.com/maps/place/Nivo+Grill+Bar/data=!4m2!3m1!1s0x151d4de2f8cd70a1:0x2d43cc14e0748f1,,
Abu Hassan,,https://www.google.com/maps/place/Abu+Hassan/data=!4m2!3m1!1s0x151d4cb9f88d3269:0x8297c1363abb4964,,
קובה התרנגול,,https://www.google.com/maps/place/%D7%A7%D7%95%D7%91%D7%94+%D7%94%D7%AA%D7%A8%D7%A0%D7%92%D7%95%D7%9C%E2%80%AD/data=!4m2!3m1!1s0x151d4b1978134389:0xe5fd57ff9bb4f075,,
המאפייה הבוכרית,,https://www.google.com/maps/place/%D7%94%D7%9E%D7%90%D7%A4%D7%99%D7%99%D7%94+%D7%94%D7%91%D7%95%D7%9B%D7%A8%D7%99%D7%AA%E2%80%AD/data=!4m2!3m1!1s0x151d4b6962440947:0xca175c95f8efe388,,
חביב מרכז הקובות,,https://www.google.com/maps/place/%D7%97%D7%91%D7%99%D7%91+%D7%9E%D7%A8%D7%9B%D7%96+%D7%94%D7%A7%D7%95%D7%91%D7%95%D7%AA%E2%80%AD/data=!4m2!3m1!1s0x151d4b6d8c4f5d27:0x4a60b3522832e6d7,,
Amiga Deli,,https://www.google.com/maps/place/Amiga+Deli/data=!4m2!3m1!1s0x151d4b7b5b440805:0x86ac217eda11701,,
מסעדת ניסים הקבב הכי טעים במדינה.,,https://www.google.com/maps/place/%D7%9E%D7%A1%D7%A2%D7%93%D7%AA+%D7%A0%D7%99%D7%A1%D7%99%D7%9D+%D7%94%D7%A7%D7%91%D7%91+%D7%94%D7%9B%D7%99+%D7%98%D7%A2%D7%99%D7%9D+%D7%91%D7%9E%D7%93%D7%99%D7%A0%D7%94.%E2%80%AD/data=!4m2!3m1!1s0x151d4b6c06d9b1f9:0x9e4c63fb497b036,,
הסאלוף,,https://www.google.com/maps/place/%D7%94%D7%A1%D7%90%D7%9C%D7%95%D7%A3%E2%80%AD/data=!4m2!3m1!1s0x151d4b6c02f67e89:0xb162d993e58756d0,,
Dilek's,,https://www.google.com/maps/place/Dilek's/data=!4m2!3m1!1s0x151d4b68ca3ffab1:0xbfb924310bb98558,,
Sunflour Bakery,,https://www.google.com/maps/place/Sunflour+Bakery/data=!4m2!3m1!1s0x151dbbcf3fa0408b:0x64cba4598151dc86,,
Vareniks,,https://www.google.com/maps/place/Vareniks/data=!4m2!3m1!1s0x151dbbf785da9319:0x5c81ba2355659d2,,
Wadi Nisnas Market,,https://www.google.com/maps/place/Wadi+Nisnas+Market/data=!4m2!3m1!1s0x151dbbb5396102ed:0x78af5f20af542635,,
Shawarma Emil,,https://www.google.com/maps/place/Shawarma+Emil/data=!4m2!3m1!1s0x151dbbcaa5e68859:0x9d740529309e7644,,
Abd al-Hadi Sweets,,https://www.google.com/maps/place/Abd+al-Hadi+Sweets/data=!4m2!3m1!1s0x151dbbb55f4ae009:0x515b4c074af05302,,
NeoPolitan,,https://www.google.com/maps/place/NeoPolitan/data=!4m2!3m1!1s0x151dbb6789ced9d1:0x546cc7c004febace,,
לוקס LUX - חיפה,,https://www.google.com/maps/place/%D7%9C%D7%95%D7%A7%D7%A1+LUX+-+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/data=!4m2!3m1!1s0x151dba3643008b11:0xf1739ff8811e0caa,,
Zorba,,https://www.google.com/maps/place/Zorba/data=!4m2!3m1!1s0x151d3fbd4a2e0d2f:0xbb8c58dbda6baee8,,
Puni Bakery,,https://www.google.com/maps/place/Puni+Bakery/data=!4m2!3m1!1s0x151d4c9dfc9f0989:0x966ab60e7337fa2,,
Ouzeria,,https://www.google.com/maps/place/Ouzeria/data=!4m2!3m1!1s0x151d4c9e754474f5:0x8dc06dbd35f22971,,
Shila,,https://www.google.com/maps/place/Shila/data=!4m2!3m1!1s0x151d4c7605ef42fb:0x7c5ef15c8e987661,,
Port Sa'id,,https://www.google.com/maps/place/Port+Sa'id/data=!4m2!3m1!1s0x151d4c82c4314bff:0xb2b99946e1680465,,
Jasmino,,https://www.google.com/maps/place/Jasmino/data=!4m2!3m1!1s0x151d4c82c77bdbdf:0xa65f4d5f60d36cef,,
הקטן,,https://www.google.com/maps/place/%D7%94%D7%A7%D7%98%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x151d4d2a9c044f7d:0x45192466ff32a820,,
Butke,,https://www.google.com/maps/place/Butke/data=!4m2!3m1!1s0x151d4be091b60af5:0xa3379854e73c85ea,,
