Title,Note,URL,Tags,Comment
,,,,
Lhasa Fast Food,"Haven't tried yet, saw on youtube",https://www.google.com/maps/place/Lhasa+Fast+Food/data=!4m2!3m1!1s0x89c25f06d625dbef:0x2ff0249e7d021ac4,,
Mariscos El Submarino,,https://www.google.com/maps/place/Mariscos+El+Submarino/data=!4m2!3m1!1s0x89c25f57ca604409:0xa6eea970e6721abc,,
El Toum,,https://www.google.com/maps/place/El+Toum/data=!4m2!3m1!1s0x89c25ff5268c7935:0x26d8cb29a02511a2,,
Phayul2,,https://www.google.com/maps/place/Phayul2/data=!4m2!3m1!1s0x89c25f850cdd7dbd:0x2c04cad0c36c2101,,
Mi Pequeño El Salvador,,https://www.google.com/maps/place/Mi+Peque%C3%B1o+El+Salvador/data=!4m2!3m1!1s0x89c25fa55e9941ef:0xe0e41d1b8fef2c,,
Ihawan,pork bbq stick,https://www.google.com/maps/place/Ihawan/data=!4m2!3m1!1s0x89c25efe9a36fe33:0x154a55c15f66c143,,
Renee's Kitchenette & Grill,,https://www.google.com/maps/place/Renee's+Kitchenette+%26+Grill/data=!4m2!3m1!1s0x89c25f03c33dde67:0x2433687b089b9086,,
Nepali Bhanchha Ghar,,https://www.google.com/maps/place/Nepali+Bhanchha+Ghar/data=!4m2!3m1!1s0x89c25f072d864e77:0xc305f1aae5e6e942,,
Phayul,,https://www.google.com/maps/place/Phayul/data=!4m2!3m1!1s0x89c25f072c4dd189:0xb49b52e73e3da10d,,
Kitchen 79,,https://www.google.com/maps/place/Kitchen+79/data=!4m2!3m1!1s0x89c25f3192d9188f:0xef126952f1680929,,
Ayada,,https://www.google.com/maps/place/Ayada/data=!4m2!3m1!1s0x89c25faa929e13a5:0xff28104863c530c7,,
Zaab Zaab,,https://www.google.com/maps/place/Zaab+Zaab/data=!4m2!3m1!1s0x89c25fd357381f49:0xd9cf7915ede1feaa,,
La Nueva Bakery,"יש גם את La Nueva Bakery - מאפיה אורוגוואית-קולומביאנית שידועה באמפנדות האפויות שלהן, ויש להם לחמניות קולומביאניות יוצאות מהכלל.",https://www.google.com/maps/place/La+Nueva+Bakery/data=!4m2!3m1!1s0x89c25faf66373e33:0xbec7ba0572858e1a,,
La Esquina Del Camaron Mexicano,"טאקו דג/דיונון, מפורסמים בשרימפ קוקטייל",https://www.google.com/maps/place/La+Esquina+Del+Camaron+Mexicano/data=!4m2!3m1!1s0x89c25fa90ca15d83:0x31ec5e96037eb78b,,
Lety's Bakery and Cafe,"ליד ארפה ליידי יש מאפיה שנקראת Lety's יש להם עוגת גבינה-פלאן, אחד הקינוחים הכי שווים בניו יורק. אם נגמר להם (לגמרי אפשרי, לוקח איזה 3 ימים להכין אותה), גם הפלאן הרגיל שלהם סבבה. מאד מאד ממליץ על עוגיות מקסיקניות  בשם RUSSIAN TEA CAKES - עוגיות חמאה- פקאן -אגוזי מלך שנמסות בפה",https://www.google.com/maps/place/Lety's+Bakery+and+Cafe/data=!4m2!3m1!1s0x89c25fa82bf254e1:0xe26ecf3d25e75ee8,,
Antojitos Doña Fela,,https://www.google.com/maps/place/Antojitos+Do%C3%B1a+Fela/data=!4m2!3m1!1s0x89c25f0bbe18eec5:0xc55f9969fd2fbe3e,,
ANTOJITOS CHARLY,,https://www.google.com/maps/place/ANTOJITOS+CHARLY/data=!4m2!3m1!1s0x89c25fc0b7a949bd:0x1511be49e073ee56,,
Chalupas Poblanas El Tlecuile,,https://www.google.com/maps/place/Chalupas+Poblanas+El+Tlecuile/data=!4m2!3m1!1s0x89c25f12086de5a1:0x563a9a9b6b0de723,,
Louie's,,https://www.google.com/maps/place/Louie's/data=!4m2!3m1!1s0x89c25fa955e449c5:0x538fb840b3a8cc88,,
Arepa Lady,,https://www.google.com/maps/place/Arepa+Lady/data=!4m2!3m1!1s0x89c25fa9f985239f:0x862a2e490df0c1ee,,
Birria-Landia,,https://www.google.com/maps/place/Birria-Landia/data=!4m2!3m1!1s0x89c25f48c9d506d3:0x7ec33cdd7d936877,,
Potala Fresh Food,,https://www.google.com/maps/place/Potala+Fresh+Food/data=!4m2!3m1!1s0x89c25f012c817ec1:0x1a33f0f21e98174c,,
Al Naimat Sweets & Restaurant,,https://www.google.com/maps/place/Al+Naimat+Sweets+%26+Restaurant/data=!4m2!3m1!1s0x89c25f071ca0bf5b:0x65ea349c553fd206,,
TONG_NYC,,https://www.google.com/maps/place/TONG_NYC/data=!4m2!3m1!1s0x89c25f6e2368c017:0x42380c61ffb301ea,,
Raja Sweets & Fast Food,,https://www.google.com/maps/place/Raja+Sweets+%26+Fast+Food/data=!4m2!3m1!1s0x89c25f06eef7af69:0x7a663094434cba4d,,
