A list of food places I have tried or have been recommended to me (or I saw on Instagram and decided I should try at some point). Some of the places have notes describing the source of the recommendation and specific dishes you should try. Use at your own discretion

Title,Note,URL,Tags,Comment
,,,,
Crif Dogs,הנקניקיה הכי טעימה בחיים של אפרת,https://www.google.com/maps/place/Crif+Dogs/data=!4m2!3m1!1s0x89c259d4ff2e8777:0x13ca080b195db3a,,
SUNDAY C&C BAKERY,instagram amy,https://www.google.com/maps/place/SUNDAY+C%26C+BAKERY/data=!4m2!3m1!1s0x89c25930e8abf21f:0x8d3712d0c265cc1c,,
Claude Bakery West Village,טרנדי? אולי שווה בדיקה,https://www.google.com/maps/place/Claude+Bakery+West+Village/data=!4m2!3m1!1s0x89c25993f3bad1df:0x2afe2b8cad265add,,
Court Street Grocers,nimrodg,https://www.google.com/maps/place/Court+Street+Grocers/data=!4m2!3m1!1s0x89c25af65a59ad43:0x4b2798ade8854a58,,
Court Street Grocers,nimrodg,https://www.google.com/maps/place/Court+Street+Grocers/data=!4m2!3m1!1s0x89c25991c788c67d:0x2fecca64d9e737fa,,
IBN Hamido Seafood,,https://www.google.com/maps/place/IBN+Hamido+Seafood/data=!4m2!3m1!1s0x89c25fcfbab8a157:0x71ea62cf178e81cb,,
Hamido Seafood “Take Outs”,,https://www.google.com/maps/place/Hamido+Seafood+%E2%80%9CTake+Outs%E2%80%9D/data=!4m2!3m1!1s0x89c25f4f18d73961:0x272c864c3f6ddca8,,
Quique Crudo,uri finzi,https://www.google.com/maps/place/Quique+Crudo/data=!4m2!3m1!1s0x89c259007a999eed:0x1c8de9de6b55b5dd,,
Saint Street Cakes,inaeeatsnyc,https://www.google.com/maps/place/Saint+Street+Cakes/data=!4m2!3m1!1s0x89c25ba5e054c82f:0x87da3c902648fb8b,,
Los Burritos Juarez,inaeeatsnyc,https://www.google.com/maps/place/Los+Burritos+Juarez/data=!4m2!3m1!1s0x89c25b3a4c7bce69:0x4f5292dcb8cec904,,
Veda Bakery - NYC,inaeeatsnyc,https://www.google.com/maps/place/Veda+Bakery+-+NYC/data=!4m2!3m1!1s0x89c25b9c8aafbf8d:0xe6e6372786ddd7e1,,
Tashkent Supermarket Halal Food,"מקום מושלם לאוכל בוכרי מוכן, קונים ואוכלים בפארק",https://www.google.com/maps/place/Tashkent+Supermarket+Halal+Food/data=!4m2!3m1!1s0x89c259004442e38d:0xf7e2a0cae4d64cbd,,
S&P Lunch,"סקרן, יש מצב שמוצלח לז'אנר, איימי מאינסטגרם",https://www.google.com/maps/place/S%26P+Lunch/data=!4m2!3m1!1s0x89c259af7859cec3:0xd49f9be0fee3f52d,,
Boutros,אני אהבתי,https://www.google.com/maps/place/Boutros/data=!4m2!3m1!1s0x89c25a4f739e4987:0x168b0744e57b02f0,,
Pig Beach BBQ Queens,,https://www.google.com/maps/place/Pig+Beach+BBQ+Queens/data=!4m2!3m1!1s0x89c25f4b7cca3eb1:0x23079a253843b75,,
Theodora,,https://www.google.com/maps/place/Theodora/data=!4m2!3m1!1s0x89c25b908dbb2727:0x8810ee4e72002ab6,,
Joy Curry & Tandoor,,https://www.google.com/maps/place/Joy+Curry+%26+Tandoor/data=!4m2!3m1!1s0x89c25902839c3d01:0x3556f9e0d278190a,,
Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei,,https://www.google.com/maps/place/Fu+Zhou+Wei+Zhong+Wei+Jia+Xiang+Feng+Wei/data=!4m2!3m1!1s0x89c25a289b0b70ab:0xad50a4eff25976fc,,
Double Crispy Bakery,Egg tart,https://www.google.com/maps/place/Double+Crispy+Bakery/data=!4m2!3m1!1s0x89c259887316daa3:0xda876b5dd4bafbdf,,
Tokyo Record Bar,צריך עוד מידע,https://www.google.com/maps/place/Tokyo+Record+Bar/data=!4m2!3m1!1s0x89c259917bd9679f:0xf974a50e03b72028,,
Dellarocco's Brick Oven Pizza,מישהי בהינג׳,https://www.google.com/maps/place/Dellarocco's+Brick+Oven+Pizza/data=!4m2!3m1!1s0x89c25a4634938a45:0x229fa22c7b1623b9,,
Los Mariscos,,https://www.google.com/maps/place/Los+Mariscos/data=!4m2!3m1!1s0x89c259bf68f0e5f9:0xfe6d36e788729964,,
