Title,Note,URL,Tags,Comment
,,,,
Dropped pin,,"https://www.google.com/maps/search/51.476204,0.0012687",,
Goddards at Greenwich,,https://www.google.com/maps/place/Goddards+at+Greenwich/data=!4m2!3m1!1s0x487602851de281ed:0x780d1c993065d1c4,,
Trafalgar Tavern,,https://www.google.com/maps/place/Trafalgar+Tavern/data=!4m2!3m1!1s0x48760282e79d80b9:0x5430eeab9f7f1199,,
St. JOHN Bread and Wine,,https://www.google.com/maps/place/St.+JOHN+Bread+and+Wine/data=!4m2!3m1!1s0x48761cb4248df3e7:0xe804dfce31c7745b,,
Mele e Pere,בר של ורמוטים עופררון,https://www.google.com/maps/place/Mele+e+Pere/data=!4m2!3m1!1s0x487604d471c394e7:0x6ac31d7632ea7ad1,,
Kiln,דג המליץ,https://www.google.com/maps/place/Kiln/data=!4m2!3m1!1s0x487604d46eeab9ff:0x327d3035b194d3b8,,
Nagare Coffee,,https://www.google.com/maps/place/Nagare+Coffee/data=!4m2!3m1!1s0x48761df6d7cf5921:0xcc99556112934e11,,
Colonna & Small's,,https://www.google.com/maps/place/Colonna+%26+Small's/data=!4m2!3m1!1s0x48761b6656cb87d5:0x2e6defda184b96ec,,
Ozone Coffee - London Fields,,https://www.google.com/maps/place/Ozone+Coffee+-+London+Fields/data=!4m2!3m1!1s0x48761da6733e80f1:0xa75bf5b2e11bac71,,
Ozone Coffee - Ludgate Hill,,https://www.google.com/maps/place/Ozone+Coffee+-+Ludgate+Hill/data=!4m2!3m1!1s0x487604ad279ff83f:0x8e5b167d92defe59,,
Ozone Coffee - Creechurch Lane,,https://www.google.com/maps/place/Ozone+Coffee+-+Creechurch+Lane/data=!4m2!3m1!1s0x487603967b0fe8e7:0xd314d055e62b21fd,,
Ozone Coffee - Shoreditch,,https://www.google.com/maps/place/Ozone+Coffee+-+Shoreditch/data=!4m2!3m1!1s0x48761caf43c8ccb5:0xc637888786396ed2,,
Fortitude Bakehouse,,https://www.google.com/maps/place/Fortitude+Bakehouse/data=!4m2!3m1!1s0x48761b30d8071b57:0x40d437b0e50ed338,,
FORNO - church lane,,https://www.google.com/maps/place/FORNO+-+church+lane/data=!4m2!3m1!1s0x47d8a7bb38933a05:0x5b5bdba2a68ad6fb,,
Pophams,,https://www.google.com/maps/place/Pophams/data=!4m2!3m1!1s0x48761b606577a8e9:0x23af144d10218a9c,,
Pophams London Fields,,https://www.google.com/maps/place/Pophams+London+Fields/data=!4m2!3m1!1s0x48761dd57cccbf61:0x6cebf0141732d1e7,,
FORNO,,https://www.google.com/maps/place/FORNO/data=!4m2!3m1!1s0x48761dbe754b5b21:0x3afd19dd9582124b,,
Broadway Market,"מלא חנויות עצמאיות ואוכל טוב, ובסופש אקסטרה שוק אוכל",https://www.google.com/maps/place/Broadway+Market/data=!4m2!3m1!1s0x48761ce8327b9369:0x800f35eee2ed1074,,
London Fields,,https://www.google.com/maps/place/London+Fields/data=!4m2!3m1!1s0x48761de68cdcbb1f:0xe52b1af562870940,,
