Title,Note,URL,Tags,Comment
,,,,
1915 Lanzhou Hand Pulled Noodles & Dumplings,,https://www.google.com/maps/place/1915+Lanzhou+Hand+Pulled+Noodles+%26+Dumplings/data=!4m2!3m1!1s0x89c25b0033152fc9:0x7289562320bc4637,,
Tasty Dumpling,סיפרו לי שהצמחוני פה מוצלח יחסית,https://www.google.com/maps/place/Tasty+Dumpling/data=!4m2!3m1!1s0x89c25a26dfa3a383:0x65e91ab05b8238c0,,
West Rice Roll King 西关肠粉王,"מגניב וטעים, אחד המקומות האהובים עליי בצ'יינהטאון",https://www.google.com/maps/place/West+Rice+Roll+King+%E8%A5%BF%E5%85%B3%E8%82%A0%E7%B2%89%E7%8E%8B/data=!4m2!3m1!1s0x89c25b474b69cabf:0x4eed938460af7dae,,
Scarr's Pizza,סלייס ניו יורק קלאסי,https://www.google.com/maps/place/Scarr's+Pizza/data=!4m2!3m1!1s0x89c25a29b69a4a39:0xb65f303d4ac5eb82,,
Vanessa's Dumpling House,מקום חביב של כיסונים שיש לו גם כיסונים צמחוניים עם ביונד או משהו כזה. שאר הכיסונים הצמחוניים בצ'יינהטאון נוטים להיות קצת משעממים אבל פה נחמד.,https://www.google.com/maps/place/Vanessa's+Dumpling+House/data=!4m2!3m1!1s0x89c2594990e14945:0xafa7d45fc6891405,,
The Chai Spot,"סימנתי בעיקר כי זה מקום עם אוירה מאוד שונה משאר המקומות במנהטן, קצת אוירה של הודו.",https://www.google.com/maps/place/The+Chai+Spot/data=!4m2!3m1!1s0x89c259d2e5705ba5:0xc3246f59ded9c11d,,
Ceres,הפיצה החמה והמדוברת בעיר. מוכרים רק פיצות שלמות בעקרון.,https://www.google.com/maps/place/Ceres/data=!4m2!3m1!1s0x89c259b36e80aa6f:0xe08722b72cd28f83,,
La Cabra,קפה של פלצנים.,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x89c2590b5700aed3:0x143482a9c81bf22b,,
Russ & Daughters,"אחת הקלישאות הגדולות של ניו יורק, אבל מסיבה טובה. אולי המקום הכי מפורסם לבייגלז.",https://www.google.com/maps/place/Russ+%26+Daughters/data=!4m2!3m1!1s0x89c259838d0451ed:0x28bb3770b1dd464b,,
SOS Chefs,חנות תבלינים הכי מגניבה בעולם. היא מוכרת בעקרון למסעדות אבל אפשר גם לקנות וממש ממש שווה לדבר עם הבעלים שם שהיא מגניבה לאללה ומבינה ממש בתבלינים.,https://www.google.com/maps/place/SOS+Chefs/data=!4m2!3m1!1s0x89c2597818adff2f:0x94c161c64f859114,,
La Cabra Bakery,קפה של פלצנים (אני אוהב כי אני פלצן). המאפים לא רעים.,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x89c259e94678df4f:0x6dddc4c5f900a76,,
B&H Dairy,מעדנייה יהודית כשרה חלבית. מקום שקיים כבר אלוהים יודע כמה זמן. אוירה רטרו (פלוס עובדים מקסיקנים) ואוכל נחמד.,https://www.google.com/maps/place/B%26H+Dairy/data=!4m2!3m1!1s0x89c2599c88c66575:0x963c13c41733f97b,,
Famous Ben's Pizza,"פיצריה אולד סקול, בניגוד למודרניות יותר שסימנתי. יש להם את ה""פאלרמו"" עם בצל ופירורי לחם שזה סימן ההיכר שלהם ודי חביב.",https://www.google.com/maps/place/Famous+Ben's+Pizza/data=!4m2!3m1!1s0x89c2598c465e0149:0xedb4eb5078cfdfb5,,
Taco Mahal,"""טאקו"" הודי של מנות הודיות על רוטי. טעים.",https://www.google.com/maps/place/Taco+Mahal/data=!4m2!3m1!1s0x89c259939e98e71b:0x4d4ea6942d64831e,,
Xi'an Famous Foods 西安名吃 | Chelsea,"יש להם סניפים בכל מיני מקומות בעיר. זול ומאוד קז'ואל, בעצם פאסט פוד סיני. אם יש את המנה עם הסייטן אז לקחת.",https://www.google.com/maps/place/Xi'an+Famous+Foods+%E8%A5%BF%E5%AE%89%E5%90%8D%E5%90%83+%7C+Chelsea/data=!4m2!3m1!1s0x89c25983b2c2cc5d:0x57dd52edcaf34e0a,,
Menkoi Sato,ראמן קז'ואל כיפי ומוצלח,https://www.google.com/maps/place/Menkoi+Sato/data=!4m2!3m1!1s0x89c259660f14f8f3:0x1a545b8da9224bcb,,
NY Dosas,,https://www.google.com/maps/place/NY+Dosas/data=!4m2!3m1!1s0x89c259f9f53903af:0x75b4e74edbd30265,,
Barney Greengrass,מקום יהודי קלאסי וותיק. בעיקר מתמחה בדגים אבל לא רק. אם יש לאטקס אז לקחת.,https://www.google.com/maps/place/Barney+Greengrass/data=!4m2!3m1!1s0x89c258847b7adf67:0x1056c24e6d2e41da,,
L’industrie Pizzeria West Village,עוד פיצריה מאוד טעימה ומצליחה. סלייס עם בוראטה + להוסיף שמן צ'ילי.,https://www.google.com/maps/place/L%E2%80%99industrie+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2599568ac63f7:0x78fb89ff91782eb0,,
Mama's TOO! Pizzeria West Village,הסניף השני של אחת הפיצות הטובות והמצליחות בעיר. הסלייסים המרובעים יותר מוצלחים בממוצע.,https://www.google.com/maps/place/Mama's+TOO!+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2590062ae6aef:0x48a50aec455a2736,,
Cafe Himalaya,,https://www.google.com/maps/place/Cafe+Himalaya/data=!4m2!3m1!1s0x89c259839bade093:0xa9c4f5f29991e3a6,,
Kuih Cafe,,https://www.google.com/maps/place/Kuih+Cafe/data=!4m2!3m1!1s0x89c25b216a547443:0xff81dd8a27df0d7e,,
