Title,Note,URL,Tags,Comment
,,,,
La Cabra Bakery,,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x89c259e94678df4f:0x6dddc4c5f900a76,,
SEY Coffee,,https://www.google.com/maps/place/SEY+Coffee/data=!4m2!3m1!1s0x89c25c0105373fb7:0x783a86971e7d46ad,,
Loveless Coffees,,https://www.google.com/maps/place/Loveless+Coffees/data=!4m2!3m1!1s0x89c25d88227e458b:0x548df8449f3fafc4,,
WatchHouse 5th Ave.,,https://www.google.com/maps/place/WatchHouse+5th+Ave./data=!4m2!3m1!1s0x89c259649c689125:0x578be17cca505252,,
La Cabra,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x89c2590b5700aed3:0x143482a9c81bf22b,,
La Cabra Roastery,,https://www.google.com/maps/place/La+Cabra+Roastery/data=!4m2!3m1!1s0x89c25d295e487c85:0x3de26023c93e53f2,,
Slate Cafe NoMad,,https://www.google.com/maps/place/Slate+Cafe+NoMad/data=!4m2!3m1!1s0x89c259df2ee13933:0xd04d051d087c9b10,,
Taqueria Ramirez,,https://www.google.com/maps/place/Taqueria+Ramirez/data=!4m2!3m1!1s0x89c2598a60020f0f:0xad4c6da40d90f29b,,
Thai Diner,,https://www.google.com/maps/place/Thai+Diner/data=!4m2!3m1!1s0x89c259e1eb6b2143:0xf8ef42b02bc96daf,,
Devoción,,https://www.google.com/maps/place/Devoci%C3%B3n/data=!4m2!3m1!1s0x89c259292a99521f:0xddfc3772b4b10463,,
Solid State Coffee,,https://www.google.com/maps/place/Solid+State+Coffee/data=!4m2!3m1!1s0x89c2599a26ad72eb:0xd05432eb77f25e1c,,
Ribalta,,https://www.google.com/maps/place/Ribalta/data=!4m2!3m1!1s0x89c259990894b3c9:0x20fa57b88dc125c6,,
Zaragoza,,https://www.google.com/maps/place/Zaragoza/data=!4m2!3m1!1s0x89c2597677f4d28b:0x6c4a138bbd4c7ba8,,
Madame Vo,,https://www.google.com/maps/place/Madame+Vo/data=!4m2!3m1!1s0x89c2599c4c8416a9:0xde39d305acb04e8a,,
uluh,,https://www.google.com/maps/place/uluh/data=!4m2!3m1!1s0x89c25976bbe022d1:0x91b483480644b923,,
CHELI MANHATTAN 浙里,,https://www.google.com/maps/place/CHELI+MANHATTAN+%E6%B5%99%E9%87%8C/data=!4m2!3m1!1s0x89c259198f38b99f:0xeadffcdd1f0d3984,,
Raku,,https://www.google.com/maps/place/Raku/data=!4m2!3m1!1s0x89c2599cd02ee1f1:0x6716c1f123435a34,,
Okiboru House of Tsukemen,,https://www.google.com/maps/place/Okiboru+House+of+Tsukemen/data=!4m2!3m1!1s0x89c259061eb1e82d:0x6e3dc53c1263fec2,,
Kiki's,,https://www.google.com/maps/place/Kiki's/data=!4m2!3m1!1s0x89c25a28f45aed0f:0x1edb7a4bfca2349d,,
Tsumo UWS,עוד לא הייתי בעצמי אבל הדיבור הוא שזה אומאקסה מאוד מוצלח ולא יקר,https://www.google.com/maps/place/Tsumo+UWS/data=!4m2!3m1!1s0x89c2f7096b4b4b69:0x6645ad7ebdea4d8f,,
Thirteen Water,אומקאסה עם ווליו פור מאני די טוב בעיני,https://www.google.com/maps/place/Thirteen+Water/data=!4m2!3m1!1s0x89c2595b5e8739b1:0xb1625653da1c2b5e,,
Soba Noodle Azuma,,https://www.google.com/maps/place/Soba+Noodle+Azuma/data=!4m2!3m1!1s0x89c2585800d2958d:0x6aeaa94bb09d73d3,,
Donburiya,,https://www.google.com/maps/place/Donburiya/data=!4m2!3m1!1s0x89c258f8020018dd:0x90189f08baf527b4,,
Raku,מסעדת אודון מוצלחת מאוד,https://www.google.com/maps/place/Raku/data=!4m2!3m1!1s0x89c2596cd01077a3:0xa97c11b20f1fe952,,
Abuqir,"אם במקרה אתם באזור, אני חושב שזו אחת האופציות הכי טובות לדגים ומאכלי ים בעיר, אפילו שזה ממש לא במרכז.",https://www.google.com/maps/place/Abuqir/data=!4m2!3m1!1s0x89c25f6a3fe1f62d:0xc41fead7a59b01bf,,
