Title,Note,URL,Tags,Comment
,,,,
Chrissy’s Pizza,,https://www.google.com/maps/place/Chrissy%E2%80%99s+Pizza/data=!4m2!3m1!1s0x89c259d645be72af:0x71d73056142d5fe,,
Fini Pizza,,https://www.google.com/maps/place/Fini+Pizza/data=!4m2!3m1!1s0x89c259c10d7af3b3:0x3bce0dab1ab310b4,,
Lucia Alimentari,,https://www.google.com/maps/place/Lucia+Alimentari/data=!4m2!3m1!1s0x89c25b00751cf9c1:0x4032345c732d8c70,,
Nate’s Detroit Pizza,,https://www.google.com/maps/place/Nate%E2%80%99s+Detroit+Pizza/data=!4m2!3m1!1s0x89c259000efaa55d:0x5b537b24ef5a990d,,
Rubirosa,,https://www.google.com/maps/place/Rubirosa/data=!4m2!3m1!1s0x89c2598f361dc3b3:0xea0bcb0a8807f54c,,
Lucali,,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7,,
Ace's Pizza,דטרויט סטייל. לדעתי אכלתי דטרויט טובות יותר אבל המקום בעיר שאהבתי בסגנון הזה נסגר אז נשאר רק את זה שניסיתי.,https://www.google.com/maps/place/Ace's+Pizza/data=!4m2!3m1!1s0x89c25928d4df3531:0xcbef3211adb362d9,,
L'Industrie Pizzeria,הסניף המקורי שלהם (השני במנהטן). אחת הפיצות הכי פופולריות בעיר.,https://www.google.com/maps/place/L'Industrie+Pizzeria/data=!4m2!3m1!1s0x89c25be02249e843:0x95c3f90fbb6a4745,,
Best Pizza,"הפיצה ה""לבנה"" מוצלחת אם אני זוכר נכון. המקום היחיד מחוץ לגליל והגולן שראיתי בו שומשום על הקראסט.",https://www.google.com/maps/place/Best+Pizza/data=!4m2!3m1!1s0x89c259f66a7f606f:0x5895b8a598b9f602,,
Joe's Pizza,אולי הפיצה הכי מפורסמת בניו יורק.,https://www.google.com/maps/place/Joe's+Pizza/data=!4m2!3m1!1s0x89c259924a960df1:0x43b20488619b3f43,,
Slicehaus Pizzeria,"עוד מקום חדש, ממישהו שלפני זה היה בlindustrie.",https://www.google.com/maps/place/Slicehaus+Pizzeria/data=!4m2!3m1!1s0x89c2590116e5e4df:0x708971cfd371eb0c,,
Prince Street Pizza,"עוד מקום אייקוני. כיף לקחת סלייסים וללכת לאכול בגינה הציבורית כמה דקות הליכה משם 
Elizabeth street garden",https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m2!3m1!1s0x89c25985f7ec1beb:0x3c39f655da433d9d,,
Cuts & Slices,"מקום חדש שיש עליו יחסית הרבה דיבור ברשתות החברתיות, עדיין לא ניסיתי",https://www.google.com/maps/place/Cuts+%26+Slices/data=!4m2!3m1!1s0x89c2590019d1ee87:0x668f96fa07535fdb,,
Patsy's Pizzeria,מקום די מיתולוגי של ניו יורק סטייל קלאסי עם תנור שעדיין עובד על פחם או משהו כזה,https://www.google.com/maps/place/Patsy's+Pizzeria/data=!4m2!3m1!1s0x89c2f5fd48e477bd:0xa4ee64436fea5227,,
Mama's TOO! Upper West Side,הסניף המקורי שלהם (יש עוד אחד דאונטאון). אחת הפיצות הכי פופולריות בעיר. הרבה תוספות מוגזמות. בעיני הסיציליאניות (הסלייסים המרובעים) יותר מוצלחים פה.,https://www.google.com/maps/place/Mama's+TOO!+Upper+West+Side/data=!4m2!3m1!1s0x89c2f624dd2aefe7:0xb86f14140d256552,,
L’industrie Pizzeria West Village,"מהסלייסים הכי פופולריים בעיר, ואחד האהובים עליי. הסניף המקורי שלהם בברוקלין ולאחרונה פתחו במנהטן. הסלייס עם הבוראטה מאוד פופולרי.",https://www.google.com/maps/place/L%E2%80%99industrie+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2599568ac63f7:0x78fb89ff91782eb0,,
Famous Ben's Pizza,לנסות את הסלייס של הפאלרמו עם הפירורי לחם,https://www.google.com/maps/place/Famous+Ben's+Pizza/data=!4m2!3m1!1s0x89c2598c465e0149:0xedb4eb5078cfdfb5,,
Scarr's Pizza,מקום שנחשב מוסד. אני דווקא לא חובב כזה גדול אבל מכיר אנשים שבכל ביקור שלהם בעיר חייבים לאכול פה,https://www.google.com/maps/place/Scarr's+Pizza/data=!4m2!3m1!1s0x89c25a29b69a4a39:0xb65f303d4ac5eb82,,
Una Pizza Napoletana,אין מה להוסיף.,https://www.google.com/maps/place/Una+Pizza+Napoletana/data=!4m2!3m1!1s0x89c25983f90bb601:0xa85e9b098e3afb21,,
Ceres,פיצריה חדשה ומאוד טרנדית. ח'ברה שעבדו במסעדת שלושה כוכבים והחליטו לפתוח פיצריה ניו יורק סטייל באיכות ממש טובה. מוכרים רק פיצות שלמות ולא סלייסים.,https://www.google.com/maps/place/Ceres/data=!4m2!3m1!1s0x89c259b36e80aa6f:0xe08722b72cd28f83,,
