Title,Note,URL,Tags,Comment
,,,,
Nate’s Detroit Pizza,לנסות,https://www.google.com/maps/place/Nate%E2%80%99s+Detroit+Pizza/data=!4m2!3m1!1s0x89c259000efaa55d:0x5b537b24ef5a990d,,
Fermento Pizza NYC,,https://www.google.com/maps/place/Fermento+Pizza+NYC/data=!4m2!3m1!1s0x89c259004d3e25b3:0xf05a571b2c5e988b,,
Il Leone,https://ny.eater.com/dining-report/406519/a-maine-cult-pizzamaker-comes-back-to-nyc-with-wood-fired-pies-and-a-lobster-showstopper?ueid=9a1aa44a0e73ba01e31f2410007bcac3&bxid=66d319caf86558bdce0c1e68,https://www.google.com/maps/place/Il+Leone/data=!4m2!3m1!1s0x89c25b74b92ff23d:0xd0af2ad78abbb299,,
Chrissy’s Pizza,,https://www.google.com/maps/place/Chrissy%E2%80%99s+Pizza/data=!4m2!3m1!1s0x89c259d645be72af:0x71d73056142d5fe,,
Slicehaus Pizzeria,"From a guy that used to be in lindustrie, need to check out",https://www.google.com/maps/place/Slicehaus+Pizzeria/data=!4m2!3m1!1s0x89c2590116e5e4df:0x708971cfd371eb0c,,
Jonny's Pizza,"Instagram, saffron ice cream?",https://www.google.com/maps/place/Jonny's+Pizza/data=!4m2!3m1!1s0x89c259c70e122227:0xc132174b15d4aeff,,
Roberta’s,,https://www.google.com/maps/place/Roberta%E2%80%99s/data=!4m2!3m1!1s0x89c2590045ca5d59:0x51ff486d3afe5466,,
Cuts & Slices,I am curious ,https://www.google.com/maps/place/Cuts+%26+Slices/data=!4m2!3m1!1s0x89c2590019d1ee87:0x668f96fa07535fdb,,
F&F Pizzeria,,https://www.google.com/maps/place/F%26F+Pizzeria/data=!4m2!3m1!1s0x89c25b3ab3b17d3b:0xb2095aabdfe0bf56,,
Ceres,wanna try,https://www.google.com/maps/place/Ceres/data=!4m2!3m1!1s0x89c259b36e80aa6f:0xe08722b72cd28f83,,
Ops,,https://www.google.com/maps/place/Ops/data=!4m2!3m1!1s0x89c259006ec97411:0x1e841b0d50170023,,
Piccolo Buco (NO PRENOTAZIONI-NO RESERVATIONS),,https://www.google.com/maps/place/Piccolo+Buco+(NO+PRENOTAZIONI-NO+RESERVATIONS)/data=!4m2!3m1!1s0x132f61acc58661e3:0x8217414b32eca6fc,,
Mama's TOO!,"Cool toppings, great dough. I prefer the squares",https://www.google.com/maps/place/Mama's+TOO!/data=!4m2!3m1!1s0x89c2f624dd2aefe7:0xb86f14140d256552,,
Village Square Pizza - Upper West Side,Decent slice. White one with the honey was pretty good,https://www.google.com/maps/place/Village+Square+Pizza+-+Upper+West+Side/data=!4m2!3m1!1s0x89c2590005ac68fb:0x98ad75462eb149c8,,
