Title,Note,URL,Tags,Comment
,,,,
Chaotic Good Cafe,,https://www.google.com/maps/place/Chaotic+Good+Cafe/data=!4m2!3m1!1s0x89c259b1b66abfa3:0x9d77019788f14262,,
Solid State Coffee,No wifi,https://www.google.com/maps/place/Solid+State+Coffee/data=!4m2!3m1!1s0x89c2599a26ad72eb:0xd05432eb77f25e1c,,
Moka & Co,,https://www.google.com/maps/place/Moka+%26+Co/data=!4m2!3m1!1s0x89c259fca50d67cb:0xa6797f8f4af61100,,
Double Dutch Espresso,,https://www.google.com/maps/place/Double+Dutch+Espresso/data=!4m2!3m1!1s0x89c2f61405ee66d7:0x43316e341dbe00a2,,
FLOATING MOUNTAIN Tea House |2nd FLOOR|,,https://www.google.com/maps/place/FLOATING+MOUNTAIN+Tea+House+%7C2nd+FLOOR%7C/data=!4m2!3m1!1s0x89c2588a0743ee2b:0x260efabbe82776f1,,
Shakespeare & Co,,https://www.google.com/maps/place/Shakespeare+%26+Co/data=!4m2!3m1!1s0x89c259de3a7297f5:0x97811be6859f042c,,
Shakespeare & Co,,https://www.google.com/maps/place/Shakespeare+%26+Co/data=!4m2!3m1!1s0x89c2f70040b318e3:0xbe4877e71de4440f,,
Picky Barista,,https://www.google.com/maps/place/Picky+Barista/data=!4m2!3m1!1s0x89c259501e99a835:0xdcf7b4b57649c983,,
Birch Coffee,,https://www.google.com/maps/place/Birch+Coffee/data=!4m2!3m1!1s0x89c2f6276e790655:0xbe7ca9df16a0e274,,
Picky Barista,,https://www.google.com/maps/place/Picky+Barista/data=!4m2!3m1!1s0x89c2f7267117e9b9:0xd5950386a113fafb,,
City Coffee Bar,,https://www.google.com/maps/place/City+Coffee+Bar/data=!4m2!3m1!1s0x89c2f73f8bc2baf1:0xe602bc5fb3c1e34a,,
Bloomingdale Library,,https://www.google.com/maps/place/Bloomingdale+Library/data=!4m2!3m1!1s0x89c2f626f39421e9:0x3e5886e1d05af598,,
