Title,Note,URL,Tags,Comment
,,,,
Marufuku Ramen,,https://www.google.com/maps/place/Marufuku+Ramen/data=!4m2!3m1!1s0x808f7e2cbc4e87b1:0xe9c8a41858638b24,,
Pineapple King Bakery - San Francisco,,https://www.google.com/maps/place/Pineapple+King+Bakery+-+San+Francisco/data=!4m2!3m1!1s0x808587657d6e6007:0xbf8260323811d52a,,
Yuanbao Jiaozi 元寶餃子,,https://www.google.com/maps/place/Yuanbao+Jiaozi+%E5%85%83%E5%AF%B6%E9%A4%83%E5%AD%90/data=!4m2!3m1!1s0x808587701d90f889:0xdd60638f98b34f50,,
LOQUAT,,https://www.google.com/maps/place/LOQUAT/data=!4m2!3m1!1s0x808581cfb1f357f3:0xb1fbc9c65d429b75,,
Crostini & Java,,https://www.google.com/maps/place/Crostini+%26+Java/data=!4m2!3m1!1s0x8085809399c87481:0xaaf15aef841b7ecd,,
Coit Tower,,https://www.google.com/maps/place/Coit+Tower/data=!4m2!3m1!1s0x8085808c40000001:0xde85b80121f2dd44,,
Golden Gate Bridge,,https://www.google.com/maps/place/Golden+Gate+Bridge/data=!4m2!3m1!1s0x808586deffffffc3:0xcded139783705509,,
Noe Peak,,https://www.google.com/maps/place/Noe+Peak/data=!4m2!3m1!1s0x808f7dcabe7c64bb:0xf94e1c2ebd111f5e,,
Golden Boy Pizza,,https://www.google.com/maps/place/Golden+Boy+Pizza/data=!4m2!3m1!1s0x808580f15be21d9b:0xe113f26b1f7d55ae,,
Arsicault Bakery,לתקופה זה היה הקרואסון הכי טוב באמריקה - ג׳יימס בירד,https://www.google.com/maps/place/Arsicault+Bakery/data=!4m2!3m1!1s0x80858739f45d4f27:0x2f0b49df0ee8b492,,
El Gallo Giro,הטאקו טראק הכי טוב (לדעתי) והקרניטס שלהם חשמללל,https://www.google.com/maps/place/El+Gallo+Giro/data=!4m2!3m1!1s0x808f7f5a4697bb73:0x2c83707ac896f3ef,,
Fig & Thistle,בר יין שיש בוא את הפופאפ פיצה של outtasight,https://www.google.com/maps/place/Fig+%26+Thistle/data=!4m2!3m1!1s0x80858098908c4867:0x87ddb491ff5b5cc1,,
Flour + Water Pasta Shop,eggplant parmigiana,https://www.google.com/maps/place/Flour+%2B+Water+Pasta+Shop/data=!4m2!3m1!1s0x808f7f1d16bab66f:0x5dcb53cbdcf5737a,,
Yamo,,https://www.google.com/maps/place/Yamo/data=!4m2!3m1!1s0x808f7e3cb785da59:0xfe0840361e8eba99,,
