Title,Note,URL,Tags,Comment
,,,,
Silence Please,,https://www.google.com/maps/place/Silence+Please/data=!4m2!3m1!1s0x89c259f1724be729:0x55e277b0b94ea0c4,,
Yonah Schimmel's Knish Bakery,,https://www.google.com/maps/place/Yonah+Schimmel's+Knish+Bakery/data=!4m2!3m1!1s0x89c25984690211a3:0x6ee2262d09432ca0,,
Kossar's Bagels & Bialys,,https://www.google.com/maps/place/Kossar's+Bagels+%26+Bialys/data=!4m2!3m1!1s0x89c25980ab036a71:0x78f4f458e7553b14,,
The Pickle Guys,,https://www.google.com/maps/place/The+Pickle+Guys/data=!4m2!3m1!1s0x89c259875630be5d:0xa016ec4fd5321fe7,,
Prince Street Pizza,,https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m2!3m1!1s0x89c25985f7ec1beb:0x3c39f655da433d9d,,
Santo Taco SoHo,,https://www.google.com/maps/place/Santo+Taco+SoHo/data=!4m2!3m1!1s0x89c2598da5edd583:0x6eee76f17c0813f2,,
Carnitas Ramirez,,https://www.google.com/maps/place/Carnitas+Ramirez/data=!4m2!3m1!1s0x89c2590050d251e3:0xd0a2838a932ab585,,
La Cabra,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x89c2590b5700aed3:0x143482a9c81bf22b,,
Jin Mei Dumpling,,https://www.google.com/maps/place/Jin+Mei+Dumpling/data=!4m2!3m1!1s0x89c25a267187f46f:0x2b1202c2fc52dab5,,
Mei Lai Wah,,https://www.google.com/maps/place/Mei+Lai+Wah/data=!4m2!3m1!1s0x89c25a2706a57733:0x2a57a93e7c2a324,,
1915 Lanzhou Hand Pulled Noodles & Dumplings,,https://www.google.com/maps/place/1915+Lanzhou+Hand+Pulled+Noodles+%26+Dumplings/data=!4m2!3m1!1s0x89c25b0033152fc9:0x7289562320bc4637,,
West Rice Roll King 西关肠粉王,,https://www.google.com/maps/place/West+Rice+Roll+King+%E8%A5%BF%E5%85%B3%E8%82%A0%E7%B2%89%E7%8E%8B/data=!4m2!3m1!1s0x89c25b474b69cabf:0x4eed938460af7dae,,
Wah Fung No.1 Fast Food,,https://www.google.com/maps/place/Wah+Fung+No.1+Fast+Food/data=!4m2!3m1!1s0x89c25987ffa99e09:0xfbce3ee954c0d58a,,
