Title,Note,URL,Tags,Comment
,,,,
DASHI OKUME Brooklyn,,https://www.google.com/maps/place/DASHI+OKUME+Brooklyn/data=!4m2!3m1!1s0x89c25983486bef61:0x331fc4c823fafdc3,,
Earth Libraries | Record Store,,https://www.google.com/maps/place/Earth+Libraries+%7C+Record+Store/data=!4m2!3m1!1s0x89c259be4438d245:0xf63b284ffabdfb2b,,
7 Spring,,https://www.google.com/maps/place/7+Spring/data=!4m2!3m1!1s0x89c259006186c3ef:0xfb1f6ca32c09e15f,,
Westsider Records,,https://www.google.com/maps/place/Westsider+Records/data=!4m2!3m1!1s0x89c2588a06a2c21d:0x6cf9fd3936b6ae03,,
Cafe Wha?,,https://www.google.com/maps/place/Cafe+Wha%3F/data=!4m2!3m1!1s0x89c259922a0f1d41:0x871f2073371fb93e,,
Book Club Bar,,https://www.google.com/maps/place/Book+Club+Bar/data=!4m2!3m1!1s0x89c25920e6e311c3:0xdb1ca1937b3d96fe,,
Lot-Less,,https://www.google.com/maps/place/Lot-Less/data=!4m2!3m1!1s0x89c259ab588f3829:0x5d0346d36ae67070,,
Stavros Niarchos Foundation Library (SNFL),,https://www.google.com/maps/place/Stavros+Niarchos+Foundation+Library+(SNFL)/data=!4m2!3m1!1s0x89c259561da80ebb:0xb18afd53f5a18ccd,,
Mother of Junk,,https://www.google.com/maps/place/Mother+of+Junk/data=!4m2!3m1!1s0x89c25958fd731747:0x5d159a8f76c5ce64,,
Grand Bazaar NYC,,https://www.google.com/maps/place/Grand+Bazaar+NYC/data=!4m2!3m1!1s0x89c25f3f8fa58d8b:0xa6db2306867235fa,,
The Red Lion,,https://www.google.com/maps/place/The+Red+Lion/data=!4m2!3m1!1s0x89c25991e8b3e73f:0x40bdec8381464f98,,
Arthur's Tavern,,https://www.google.com/maps/place/Arthur's+Tavern/data=!4m2!3m1!1s0x89c259938041998d:0xac3a5137c421e255,,
The Bitter End,,https://www.google.com/maps/place/The+Bitter+End/data=!4m2!3m1!1s0x89c25991e800f6dd:0xee7b832042a9f112,,
Broadway Indoor Public Space,,https://www.google.com/maps/place/Broadway+Indoor+Public+Space/data=!4m2!3m1!1s0x89c2588aaf7a37ed:0x323be30396cb2b50,,
O Ottomanelli & Sons Meat Market,,https://www.google.com/maps/place/O+Ottomanelli+%26+Sons+Meat+Market/data=!4m2!3m1!1s0x89c25993a1b5cf47:0xc71f59781773e789,,
Flea Market,,https://www.google.com/maps/place/Flea+Market/data=!4m2!3m1!1s0x89c259ee332a8df1:0x4784538519bfaa9f,,
Fishs Eddy,,https://www.google.com/maps/place/Fishs+Eddy/data=!4m2!3m1!1s0x89c259a2346cbfdd:0xa29562e7f1544e88,,
Brooklyn Seltzer Museum,,https://www.google.com/maps/place/Brooklyn+Seltzer+Museum/data=!4m2!3m1!1s0x89c25dd3d6f09797:0x273f1bcdd5743724,,
Philip Williams Posters,,https://www.google.com/maps/place/Philip+Williams+Posters/data=!4m2!3m1!1s0x89c25a1f25765fed:0x61fe065174e2fede,,
