Title,Note,URL,Tags,Comment
,,,,
Saturn Road,,https://www.google.com/maps/place/Saturn+Road/data=!4m2!3m1!1s0x89c25b9ecbb2fb37:0x9b4d14a343855ccd,,
Bedford Studio,,https://www.google.com/maps/place/Bedford+Studio/data=!4m2!3m1!1s0x89c2591b2ccdec6b:0x44afb72569dec2fb,,
Books N’ Cup Cafe,,https://www.google.com/maps/place/Books+N%E2%80%99+Cup+Cafe/data=!4m2!3m1!1s0x89c2592bde78a63b:0xd90e5d2b93e4f41e,,
Conwell Coffee & Cocktail Hall,,https://www.google.com/maps/place/Conwell+Coffee+%26+Cocktail+Hall/data=!4m2!3m1!1s0x89c25bfb38013381:0xa2be61274a2c8dd5,,
Stripes Wine Bar & Cafe,,https://www.google.com/maps/place/Stripes+Wine+Bar+%26+Cafe/data=!4m2!3m1!1s0x89c259cc00faec69:0xe12962b43fdac2f9,,
Variety Coffee Roasters,,https://www.google.com/maps/place/Variety+Coffee+Roasters/data=!4m2!3m1!1s0x89c259002497c7f7:0x188954be2cc2d57,,
1 Hotel Brooklyn Bridge,,https://www.google.com/maps/place/1+Hotel+Brooklyn+Bridge/data=!4m2!3m1!1s0x89c25a39ee957823:0x55e7fa4812618518,,
David Rubenstein Atrium,,https://www.google.com/maps/place/David+Rubenstein+Atrium/data=!4m2!3m1!1s0x89c258f5f2b62a0f:0x2d0046e219cb33bb,,
PUBLIC Hotel,,https://www.google.com/maps/place/PUBLIC+Hotel/data=!4m2!3m1!1s0x89c25984338e8f61:0x9c45c71d0bc40ebc,,
Moshava Coffee,,https://www.google.com/maps/place/Moshava+Coffee/data=!4m2!3m1!1s0x89c2593c34e37121:0x9a76cf8d30ca9a0e,,
787 Coffee,,https://www.google.com/maps/place/787+Coffee/data=!4m2!3m1!1s0x89c25984bf3c6a45:0x905aa869c527086e,,
Hungry Llama,,https://www.google.com/maps/place/Hungry+Llama/data=!4m2!3m1!1s0x89c259b7f8b77215:0xf30235ff200052e3,,
The Bean,,https://www.google.com/maps/place/The+Bean/data=!4m2!3m1!1s0x89c259836c28ddd9:0x8728ebccf797be25,,
The Bean,,https://www.google.com/maps/place/The+Bean/data=!4m2!3m1!1s0x89c25984a4dc92bf:0xa217a0da9e07da25,,
Stumptown Coffee Roasters,,https://www.google.com/maps/place/Stumptown+Coffee+Roasters/data=!4m2!3m1!1s0x89c25996d46ccfed:0x3034ad801dc5fcb3,,
Stumptown Coffee Roasters,,https://www.google.com/maps/place/Stumptown+Coffee+Roasters/data=!4m2!3m1!1s0x89c259a61c75684f:0x79d31adb123348d2,,
Stavros Niarchos Foundation Library (SNFL),,https://www.google.com/maps/place/Stavros+Niarchos+Foundation+Library+(SNFL)/data=!4m2!3m1!1s0x89c259561da80ebb:0xb18afd53f5a18ccd,,
The Chai Spot,,https://www.google.com/maps/place/The+Chai+Spot/data=!4m2!3m1!1s0x89c259d2e5705ba5:0xc3246f59ded9c11d,,
Kona Coffee Roasters | Chelsea,,https://www.google.com/maps/place/Kona+Coffee+Roasters+%7C+Chelsea/data=!4m2!3m1!1s0x89c25987c653e6db:0xa9d2cf65c123d003,,
Silence Please,,https://www.google.com/maps/place/Silence+Please/data=!4m2!3m1!1s0x89c259f1724be729:0x55e277b0b94ea0c4,,
Think Coffee,,https://www.google.com/maps/place/Think+Coffee/data=!4m2!3m1!1s0x89c259851852abd5:0xd439f8da9b71229b,,
Jefferson Market Library,,https://www.google.com/maps/place/Jefferson+Market+Library/data=!4m2!3m1!1s0x89c25996eca3cc89:0x9fc513f0c1f9096a,,
Seven Grams Caffe,,https://www.google.com/maps/place/Seven+Grams+Caffe/data=!4m2!3m1!1s0x89c259a549e374a9:0xb28576159e414011,,
