Title,Note,URL,Tags,Comment
,,,,
Kohi Coffee Shop,,https://www.google.com/maps/place/Kohi+Coffee+Shop/data=!4m2!3m1!1s0x151d4d00086c0cf3:0x32955a018b84793d,,
UNICORNER,,https://www.google.com/maps/place/UNICORNER/data=!4m2!3m1!1s0x151d4bef4cfaced3:0x5ccb2e78b2126556,,
Eyla,,https://www.google.com/maps/place/Eyla/data=!4m2!3m1!1s0x151d4d0030c1c3d5:0x6b3a4f97e921b5a,,
Cafetish,,https://www.google.com/maps/place/Cafetish/data=!4m2!3m1!1s0x151d4be4ca1136cb:0x3bfd22d3c45f7f2,,
Ada Hanina Cafe,,https://www.google.com/maps/place/Ada+Hanina+Cafe/data=!4m2!3m1!1s0x151d4d7e0f234163:0xd793b4f067d4b5ca,,
Cafelix - Jaffa,,https://www.google.com/maps/place/Cafelix+-+Jaffa/data=!4m2!3m1!1s0x151d4cbd69368f37:0xf4e7a8167bfc970a,,
Cafelix Shlomo Hamelech,,https://www.google.com/maps/place/Cafelix+Shlomo+Hamelech/data=!4m2!3m1!1s0x151d4b80d4a01915:0x7ef7b1b405a922e3,,
Jera,,https://www.google.com/maps/place/Jera/data=!4m2!3m1!1s0x151d4b6997ea4c15:0x8baef9e8e6b2cee7,,
Mae,Boza Karni-Harel,https://www.google.com/maps/place/Mae/data=!4m2!3m1!1s0x151d4c832e490aed:0x7d6a33c2f9cd797f,,
Mae Cafe,Boza Karni-Harel,https://www.google.com/maps/place/Mae+Cafe/data=!4m2!3m1!1s0x151d4b8c4bbcecdd:0xa32f711c6dcdcea2,,
Mae Café,Boza Karni-Harel,https://www.google.com/maps/place/Mae+Caf%C3%A9/data=!4m2!3m1!1s0x151d4c847db18963:0xffb0dc59477f7ce0,,
ORIGEM Coffee,Noa Shweky,https://www.google.com/maps/place/ORIGEM+Coffee/data=!4m2!3m1!1s0x151d4b89f10409f9:0x6fed5a57838faa96,,
WayCup Coffee,,https://www.google.com/maps/place/WayCup+Coffee/data=!4m2!3m1!1s0x151d4b7cd6109e7f:0xbf7b786183e34391,,
WayCup Coffee,KM: good,https://www.google.com/maps/place/WayCup+Coffee/data=!4m2!3m1!1s0x151d4c81d09c2335:0x360a7530032482e6,,
Caffe Tamati,KM: Good,https://www.google.com/maps/place/Caffe+Tamati/data=!4m2!3m1!1s0x151d4c84f240a16f:0xf7cfd0d2c013be6f,,
קפה ענן,איב,https://www.google.com/maps/place/%D7%A7%D7%A4%D7%94+%D7%A2%D7%A0%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x151d4d0040d8e6e3:0xcf287332d8b2e8d5,,
Bosser,איב,https://www.google.com/maps/place/Bosser/data=!4m2!3m1!1s0x151d4b1bad00ee85:0xd8cfcbee13d51b7e,,
Loki Coffee,איב,https://www.google.com/maps/place/Loki+Coffee/data=!4m2!3m1!1s0x151d4d007ad5e849:0xfc8fd447cedbd71b,,
