Title,Note,URL,Tags,Comment
,,,,
Maru Coffee,haven't tried yet,https://www.google.com/maps/place/Maru+Coffee/data=!4m2!3m1!1s0x89c25900300d21cd:0xb328a0264a38784c,,
Obscure Coffee Roasters,haven't tried yet,https://www.google.com/maps/place/Obscure+Coffee+Roasters/data=!4m2!3m1!1s0x89c25d4b493c2e15:0xdf49ced21321c923,,
ansā Micro Coffee Roastery,נעם לי שתתה אפוגטו,https://www.google.com/maps/place/ans%C4%81+Micro+Coffee+Roastery/data=!4m2!3m1!1s0x89c2590004e84a73:0x687465b40888d33b,,
PlantShed Cafe,דנ-יה,https://www.google.com/maps/place/PlantShed+Cafe/data=!4m2!3m1!1s0x89c2594cd99c0267:0x228135dc0fed80de,,
Slate Cafe NoMad,"twitter, haven't tried yet",https://www.google.com/maps/place/Slate+Cafe+NoMad/data=!4m2!3m1!1s0x89c259df2ee13933:0xd04d051d087c9b10,,
Silence Please,"KM: ok coffee, nice vibe",https://www.google.com/maps/place/Silence+Please/data=!4m2!3m1!1s0x89c259f1724be729:0x55e277b0b94ea0c4,,
Marlton Espresso Bar,,https://www.google.com/maps/place/Marlton+Espresso+Bar/data=!4m2!3m1!1s0x89c25997325bd64b:0x655fc24fbe7c51cf,,
le gaz,,https://www.google.com/maps/place/le+gaz/data=!4m2!3m1!1s0x89c25b34a3befebd:0xb630a5d56f9bbc63,,
Saltwater Coffee,,https://www.google.com/maps/place/Saltwater+Coffee/data=!4m2!3m1!1s0x89c2590729c0cfed:0xaecc1e88c214b7a0,,
Felix Roasting Co.,,https://www.google.com/maps/place/Felix+Roasting+Co./data=!4m2!3m1!1s0x89c259842c91df7f:0x23aedc4176edcb8d,,
Frame Coffee,DID NOT TRY YET,https://www.google.com/maps/place/Frame+Coffee/data=!4m2!3m1!1s0x89c25923cbd1f53b:0xa8ba93166f3a1052,,
Moka & Co,traditional specialties are pretty good. Not you standard espresso but good in and on itself,https://www.google.com/maps/place/Moka+%26+Co/data=!4m2!3m1!1s0x89c259fca50d67cb:0xa6797f8f4af61100,,
Roasting Plant Coffee,Good coffee but only paper cups :(,https://www.google.com/maps/place/Roasting+Plant+Coffee/data=!4m2!3m1!1s0x89c259876b465a6b:0xf9b7633d3cd5f59a,,
La Cabra,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x89c25d295e487c85:0x3de26023c93e53f2,,
La Cabra,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x89c2590b5700aed3:0x143482a9c81bf22b,,
Black Press Coffee,,https://www.google.com/maps/place/Black+Press+Coffee/data=!4m2!3m1!1s0x89c2592f9909fc55:0x9185189d380a814e,,
Picky Barista,Nice place to work in but not to have coffee,https://www.google.com/maps/place/Picky+Barista/data=!4m2!3m1!1s0x89c259501e99a835:0xdcf7b4b57649c983,,
WatchHouse 5th Ave.,Good (KM),https://www.google.com/maps/place/WatchHouse+5th+Ave./data=!4m2!3m1!1s0x89c259649c689125:0x578be17cca505252,,
Black Fox Coffee,Good,https://www.google.com/maps/place/Black+Fox+Coffee/data=!4m2!3m1!1s0x89c2592495912fed:0x6db71911bd8c1af4,,
Little Collins,Very nice,https://www.google.com/maps/place/Little+Collins/data=!4m2!3m1!1s0x89c259af84f24db9:0xb6a8d79d323b5b56,,
Loveless Coffees,Great,https://www.google.com/maps/place/Loveless+Coffees/data=!4m2!3m1!1s0x89c25d88227e458b:0x548df8449f3fafc4,,
SEY Coffee,Good,https://www.google.com/maps/place/SEY+Coffee/data=!4m2!3m1!1s0x89c25c0105373fb7:0x783a86971e7d46ad,,
St Kilda Coffee,Not as good as the other spot,https://www.google.com/maps/place/St+Kilda+Coffee/data=!4m2!3m1!1s0x89c2585398cb1ecd:0x1c444f8aa8477495,,
St Kilda Coffee,,https://www.google.com/maps/place/St+Kilda+Coffee/data=!4m2!3m1!1s0x89c2595a7376cefd:0xbb95cf9c25c3f7a5,,
Parlor Coffee Roasters,,https://www.google.com/maps/place/Parlor+Coffee+Roasters/data=!4m2!3m1!1s0x89c25bc63cb40425:0x9a0002caa51b857d,,
Little Collins,,https://www.google.com/maps/place/Little+Collins/data=!4m2!3m1!1s0x89c2594b851a03eb:0x4cb2a5f0fe6a9f36,,
La Cabra Bakery,"https://twitter.com/hagaishapira/status/1669735679595536386?s=20

Great pastry, ok coffee",https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x89c259e94678df4f:0x6dddc4c5f900a76,,
Abraço,Not good,https://www.google.com/maps/place/Abra%C3%A7o/data=!4m2!3m1!1s0x89c2599cde37d703:0x53a4bd028dd5e6ce,,
SUITED,Good,https://www.google.com/maps/place/SUITED/data=!4m2!3m1!1s0x89c25bec802d50a1:0xe28c89887905242d,,
Devoción,Meh,https://www.google.com/maps/place/Devoci%C3%B3n/data=!4m2!3m1!1s0x89c2598179e93d95:0x884bef2999f13591,,
Solid State Coffee,Amazing,https://www.google.com/maps/place/Solid+State+Coffee/data=!4m2!3m1!1s0x89c2599a26ad72eb:0xd05432eb77f25e1c,,
In Common NYC Cafe,Not good,https://www.google.com/maps/place/In+Common+NYC+Cafe/data=!4m2!3m1!1s0x89c259b52862a671:0xd50cb6d3dbcffc98,,
Villager,,https://www.google.com/maps/place/Villager/data=!4m2!3m1!1s0x89c25b987bf70b3d:0xea774e8db991be6,,
Do Not Feed Alligators,,https://www.google.com/maps/place/Do+Not+Feed+Alligators/data=!4m2!3m1!1s0x89c259dd79e772c7:0xc06459a9de4a951e,,
Devoción,,https://www.google.com/maps/place/Devoci%C3%B3n/data=!4m2!3m1!1s0x89c259617ae5b78b:0xe919ce17bb09920e,,
Devoción,,https://www.google.com/maps/place/Devoci%C3%B3n/data=!4m2!3m1!1s0x89c259292a99521f:0xddfc3772b4b10463,,
