Title,Note,URL,Tags,Comment
,,,,
Cafresco,,https://www.google.com/maps/place/Cafresco/data=!4m2!3m1!1s0x1502d0cf5ca77c89:0x28d8ec9d9489682e,,
Kabakeh,"גל ממליה: ובהזדמנות הזו - כאבכה. מסעדת אחות שלהם ביפו בכיכר קדומים. אני הולך לשם בעיקר בהרכב טבעוני, והסלטים וכל הפתיחות מוצדקים בתור ארוחה. יש גם חומוס נהדר, סלט פתוש שאסור לוותר עליו. מג׳אדרה, אורז חוביזה, וכו׳. כאילו מלכודת תיירים אבל ממש לא",https://www.google.com/maps/place/Kabakeh/data=!4m2!3m1!1s0x151d4def3ff13a07:0x737a29b175cd50a7,,
Ezba,גל ממליה: הכח שלהם בעיקר בעונת הליקוט אבל הם יודעים להקפיא ולנצל למשך השנה,https://www.google.com/maps/place/Ezba/data=!4m2!3m1!1s0x151c303fbed27aa9:0x459faf82499dead6,,
Tosha Bakery,קבוצה של גל,https://www.google.com/maps/place/Tosha+Bakery/data=!4m2!3m1!1s0x151dd1702c008d7d:0x5f802cdf0f924444,,
לחם סער,קבוצה של גל,https://www.google.com/maps/place/%D7%9C%D7%97%D7%9D+%D7%A1%D7%A2%D7%A8%E2%80%AD/data=!4m2!3m1!1s0x151dcc38b4055555:0x2c195f244dea262,,
Fogg El Nakhla,ראיתי באינסטגרם סמבוסק גבינה ,https://www.google.com/maps/place/Fogg+El+Nakhla/data=!4m2!3m1!1s0x151d4bcb9e7d036f:0xf0aa51141a17c694,,
Fish Market,,https://www.google.com/maps/place/Fish+Market/data=!4m2!3m1!1s0x150073bec143c83d:0xe161ab2a7d765f9a,,
Tikka Masala - טיקה מסאלה אילת | מסעדה הודית באילת | מסעדה מזרחית באילת,,https://www.google.com/maps/place/Tikka+Masala+-+%D7%98%D7%99%D7%A7%D7%94+%D7%9E%D7%A1%D7%90%D7%9C%D7%94+%D7%90%D7%99%D7%9C%D7%AA+%7C+%D7%9E%D7%A1%D7%A2%D7%93%D7%94+%D7%94%D7%95%D7%93%D7%99%D7%AA+%D7%91%D7%90%D7%99%D7%9C%D7%AA+%7C+%D7%9E%D7%A1%D7%A2%D7%93%D7%94+%D7%9E%D7%96%D7%A8%D7%97%D7%99%D7%AA+%D7%91%D7%90%D7%99%D7%9C%D7%AA%E2%80%AD/data=!4m2!3m1!1s0x15006e05b0daaaab:0x5960746bfb2c286d,,
הלב הרחב,אולי,https://www.google.com/maps/place/%D7%94%D7%9C%D7%91+%D7%94%D7%A8%D7%97%D7%91%E2%80%AD/data=!4m2!3m1!1s0x150071ff90f0bcdf:0x7111eef152013bc6,,
Pinchito Eilat,אולי,https://www.google.com/maps/place/Pinchito+Eilat/data=!4m2!3m1!1s0x15006e045c280ecd:0x1006e616d8e6bec7,,
לילי - LILIE,,https://www.google.com/maps/place/%D7%9C%D7%99%D7%9C%D7%99+-+LILIE%E2%80%AD/data=!4m2!3m1!1s0x150073ba2927089b:0x48fea9c3bbf6d8fb,,
הלב הרחב,אולי,https://www.google.com/maps/place/%D7%94%D7%9C%D7%91+%D7%94%D7%A8%D7%97%D7%91%E2%80%AD/data=!4m2!3m1!1s0x150071f5e2050f99:0xd38dd4d7633e22d5,,
The Last Refuge,אולי,https://www.google.com/maps/place/The+Last+Refuge/data=!4m2!3m1!1s0x150073256c3a490d:0xb40b858843bf818d,,
Paradiso del gelato,גיאחה,https://www.google.com/maps/place/Paradiso+del+gelato/data=!4m2!3m1!1s0x151d4df394edbdfb:0x1541233a74151a05,,
BAR VERMINI - בר ורמיני,נעם לי,https://www.google.com/maps/place/BAR+VERMINI+-+%D7%91%D7%A8+%D7%95%D7%A8%D7%9E%D7%99%D7%A0%D7%99%E2%80%AD/data=!4m2!3m1!1s0x151d4df00cbc4b6f:0x48e4db591e936277,,
Maklot-Vanil (Vanilla Sticks),"זכרונות מהצבא, כבר אז זה היה מקום ייחודי בשביל זה שהוא בעפולה",https://www.google.com/maps/place/Maklot-Vanil+(Vanilla+Sticks)/data=!4m2!3m1!1s0x151c53dd8ce68ed9:0x3ce5a4cafdaf0241,,
משוויה עפולה,ראיתי בטוויטר. לא כזה סומך על זה אבל זה גם עפולה אז כמה אופציות כבר יש,https://www.google.com/maps/place/%D7%9E%D7%A9%D7%95%D7%95%D7%99%D7%94+%D7%A2%D7%A4%D7%95%D7%9C%D7%94%E2%80%AD/data=!4m2!3m1!1s0x151c53706022dd85:0xdb516c16b1254e97,,
Sahara Palace | ארמון סהרה,גיל גוטקין,https://www.google.com/maps/place/Sahara+Palace+%7C+%D7%90%D7%A8%D7%9E%D7%95%D7%9F+%D7%A1%D7%94%D7%A8%D7%94%E2%80%AD/data=!4m2!3m1!1s0x151c51de92fcae4b:0xb89178c89d563d91,,
DODO&DELI,אלעד מיגר טוויטר כריך הפתעה,https://www.google.com/maps/place/DODO%26DELI/data=!4m2!3m1!1s0x151d4b8c44f513d7:0x7cd4d3a115e0cac2,,
Salomé,נעם לי,https://www.google.com/maps/place/Salom%C3%A9/data=!4m2!3m1!1s0x151d4d0001121735:0xe44e4aacea664893,,
Hanan Margilan,,https://www.google.com/maps/place/Hanan+Margilan/data=!4m2!3m1!1s0x151d4b5f05342421:0x8bd3f60aae195193,,
Gita,הקבב הכי טוב בעיר על פי פוני,https://www.google.com/maps/place/Gita/data=!4m2!3m1!1s0x151d4d002ff577c7:0xac5526f740444338,,
