Title,Note,URL,Tags,Comment
,,,,
קפה החשמל,,https://www.google.com/maps/place/%D7%A7%D7%A4%D7%94+%D7%94%D7%97%D7%A9%D7%9E%D7%9C%E2%80%AD/data=!4m2!3m1!1s0x151d4b62e9540875:0x7b4f1d561018bc94,,
Café Asif,,https://www.google.com/maps/place/Caf%C3%A9+Asif/data=!4m2!3m1!1s0x151d4db9f8039f51:0x63577ec832bd8f29,,
The Streets,,https://www.google.com/maps/place/The+Streets/data=!4m2!3m1!1s0x151d4b8120123037:0xd009a4a199a995c9,,
Peacock,,https://www.google.com/maps/place/Peacock/data=!4m2!3m1!1s0x151d4b8208451c6f:0x46e8e30c149ea66b,,
Nehama Vahetzi,,https://www.google.com/maps/place/Nehama+Vahetzi/data=!4m2!3m1!1s0x151d4b81e13c5435:0x6654d19d42cc38ab,,
Migdalor Cafe,,https://www.google.com/maps/place/Migdalor+Cafe/data=!4m2!3m1!1s0x151d4b1e236555af:0x56c43f7d13cfd71,,
Guga,,https://www.google.com/maps/place/Guga/data=!4m2!3m1!1s0x151d4b85bc629783:0x87c793c2cd2056f5,,
Tachtit Café,,https://www.google.com/maps/place/Tachtit+Caf%C3%A9/data=!4m2!3m1!1s0x151d4b79718815b9:0x461a2a5f57cedfa4,,
Elkalai,,https://www.google.com/maps/place/Elkalai/data=!4m2!3m1!1s0x151d4b8b580f0087:0x7694b7f5aafaa823,,
Little Prince Bookshop,,https://www.google.com/maps/place/Little+Prince+Bookshop/data=!4m2!3m1!1s0x151d4c81cacb7e17:0x9ea79af7ccd5d243,,
Dede bar florentin דדה פלורנטין,,https://www.google.com/maps/place/Dede+bar+florentin+%D7%93%D7%93%D7%94+%D7%A4%D7%9C%D7%95%D7%A8%D7%A0%D7%98%D7%99%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x151d4c9ed9151da3:0x59c8f0bd669db0c9,,
Alpaca vegan bar,,https://www.google.com/maps/place/Alpaca+vegan+bar/data=!4m2!3m1!1s0x151d4d7824e54d25:0xeb3703e87bca870a,,
Casino San Remo,,https://www.google.com/maps/place/Casino+San+Remo/data=!4m2!3m1!1s0x151d4cbd081ebf91:0x4330c91a7e38aa9b,,
Dizengoff Square,,https://www.google.com/maps/place/Dizengoff+Square/data=!4m2!3m1!1s0x151d4b80a98ec5dd:0xd6dc9caa1aec15ce,,
אלוף בצלות,,https://www.google.com/maps/place/%D7%90%D7%9C%D7%95%D7%A3+%D7%91%D7%A6%D7%9C%D7%95%D7%AA%E2%80%AD/data=!4m2!3m1!1s0x151d4d753c879209:0x43745d767b2da62d,,
Mirage,,https://www.google.com/maps/place/Mirage/data=!4m2!3m1!1s0x151d4d2985f84e39:0x39ad6cd0cd4a5909,,
Dizengoff Cafe,,https://www.google.com/maps/place/Dizengoff+Cafe/data=!4m2!3m1!1s0x151d4b89d2f4849b:0x7e4bed0868c78530,,
Minzar,,https://www.google.com/maps/place/Minzar/data=!4m2!3m1!1s0x151d4c8165b7416d:0xcbe18246ea4e47d0,,
בוסר,,https://www.google.com/maps/place/%D7%91%D7%95%D7%A1%D7%A8%E2%80%AD/data=!4m2!3m1!1s0x151d4b1bad00ee85:0xd8cfcbee13d51b7e,,
